世界排名,国家,人口数量,人口密度（公里²）
1,印度,1426711933,480.5
2,中国,1425722992,151.86
3,美国,339730633,37.17
4,印度尼西亚,277201035,153.2
5,巴基斯坦,239800890,311.96
6,尼日利亚,223035384,245.73
7,巴西,216242451,25.89
8,孟加拉国,172699175,1328.68
9,俄罗斯,144516841,8.82
10,墨西哥,128318745,66.08
11,埃塞俄比亚,126065680,126.53
12,日本,123390446,338.21
13,菲律宾,117080335,393.53
14,埃及,112464345,113.23
15,刚果民主共和国,101782146,45.11
16,越南,98763901,318.83
17,伊朗,89077500,54.76
18,土耳其,85750799,111.5
19,德国,83299933,238.97
20,泰国,71787502,140.54
21,英国,67703939,279.99
22,坦桑尼亚,67153058,76.13
23,法国,64738047,118.26
24,南非,60335115,49.8
25,意大利,58895368,200.15
